Sol,Activity,min_rod_temp,avg_rod_temp,max_rod_temp,min_wind_speed,avg_wind_speed,max_wind_speed,wind_dir_volatility,Solar longitude (deg),age_factor
66,No runout,189.12147037037036,216.51724065267214,264.1574111111111,1.8226811594202896,4.7724815334473485,6.9585,12.93480361999255,334.56,0.7727272727272727
67,No runout,188.77387037037033,217.48551926016262,266.2647333333333,1.7089166666666666,4.714375085613433,6.664011111111111,14.646356289444986,335.11,0.7878787878787878
70,No runout,188.2879888888889,216.99778095370368,262.4876962962963,1.7419870129870132,4.289847617602022,6.261922222222222,11.25020980673165,336.78,0.803030303030303
71,No runout,188.62350370370373,218.53477181122696,269.19342222222224,0.6438181818181817,3.836513613278533,5.937911111111111,17.21153643069822,337.33,0.8181818181818182
72,Runout,188.7434888888889,217.78716337497124,265.85580740740744,1.251952380952381,4.237969445648513,6.282677777777778,12.7438898826994,337.88,0.8333333333333334
73,No runout,188.11671481481483,216.85773899567099,263.23606296296293,1.6945094339622642,4.705075185601101,6.768633333333334,8.877916606459678,338.43,0.8484848484848485
74,No runout,187.98711481481484,216.4881746702016,261.63456296296295,2.393255813953488,5.204222139878539,7.650977777777777,8.08709631579341,338.98,0.8636363636363636
75,Runout,187.93501481481482,217.00137023855038,265.6256,1.0021714285714285,4.517183256695865,7.071777777777778,13.343148638555432,339.53,0.8787878787878788
76,No runout,188.09548148148147,215.28675875676305,262.08987777777776,0.372,4.015739146945693,6.762022471910113,15.508342865199694,340.08,0.8939393939393939
77,No runout,187.89192222222223,216.58312845441597,262.3594703703704,1.7187368421052631,4.339785519170387,6.2701777777777785,11.34600746516232,340.63,0.9090909090909091
78,Runout,186.99037037037036,216.01469825036952,261.41648148148147,1.35455223880597,4.709890122425503,7.042106666666667,16.370613677153518,341.17,0.9242424242424242
79,No runout,186.58446296296293,216.16977754643358,261.5281777777777,1.354608695652174,4.468014992072668,6.720704545454546,14.977523605675055,341.72,0.9393939393939394
80,Runout,186.6333925925926,215.73238167845116,259.83154444444443,1.927549295774648,4.855095875541269,7.119886363636363,10.20442820462306,342.26,0.9545454545454546
81,No runout,187.09847407407406,215.7989888904992,259.1949814814815,1.4904615384615385,4.968434847004721,8.45571111111111,12.71453467234181,342.8,0.9696969696969697
82,Runout,187.1366074074074,216.6438446506437,262.45822962962967,1.5647547169811322,4.155037488476775,5.965466666666667,15.093154685662702,343.35,0.9848484848484849
83,No runout,186.72665185185187,216.4539163995424,264.97054444444444,0.55190625,4.0851543617821635,7.340144578313253,15.744185571968885,343.89,1.0
