sol,temp_range,environmental_stress_index,temp_min,temp_max,temp_avg,mars_season,mission_phase,solar_longitude_deg,dust_season_risk,orbital_thermal_factor,wind_speed_avg,wind_speed_max
148,81.78913,0.023248011,178.95735,260.7465,214.42006,Spring_North,Primary,17.228151,0.0,0.1975048,4.09965,7.361689
149,81.90088,0.023802053,179.03958,260.94046,214.79897,Spring_North,Primary,17.7122,0.0,0.19415225,4.0303674,6.385081
150,80.64095,0.021364557,180.22943,260.8704,214.78366,Spring_North,Primary,18.1986,0.0,0.1908054,4.0361447,6.6455555
151,81.443924,0.026206547,179.35985,260.80377,214.23802,Spring_North,Primary,18.68694,0.0,0.18746763,4.2036495,6.7167416
152,81.380035,0.025602596,179.07397,260.454,214.60345,Spring_North,Primary,19.169,0.0,0.18419504,4.0923867,6.5237284
153,81.40812,0.028437402,179.796,261.20413,214.37029,Spring_North,Primary,19.651445,0.0,0.18094222,3.9658458,6.414533
154,82.13695,0.0278069,178.51141,260.64835,214.387,Spring_North,Primary,20.1368,0.0,0.1776926,4.0943494,6.6422887
155,82.07892,0.028065149,178.87709,260.95602,214.60815,Spring_North,Primary,20.6198,0.0,0.17448172,4.027385,6.6842694
156,81.44168,0.03276229,178.2409,259.6826,214.13423,Spring_North,Primary,21.100252,0.0,0.17131072,3.9363885,7.637478
157,81.92102,0.03215257,178.6789,260.5999,214.55148,Spring_North,Primary,21.5842,0.0,0.16814001,4.0925183,7.2691
158,81.164085,0.02401602,178.31967,259.48376,214.36125,Spring_North,Primary,22.0656,0.0,0.16500948,4.069087,7.1617665
159,80.48261,0.0290669,178.831,259.3136,213.67268,Spring_North,Primary,22.548908,0.0,0.16189034,4.131553,7.1343975
160,80.01033,0.031478386,179.58815,259.59848,214.32596,Spring_North,Primary,23.026,0.0,0.15883492,4.18841,7.0059223
161,81.09351,0.032408588,177.97984,259.07336,214.714,Spring_North,Primary,23.5054,0.0,0.15578853,4.0444503,6.7111335
162,80.93344,0.034375235,178.43532,259.36874,213.39046,Spring_North,Primary,23.987303,0.0,0.15275052,4.0569134,6.9947224
163,81.66967,0.031765927,178.237,259.90668,214.14479,Spring_North,Primary,24.4628,0.0,0.14977698,3.9660208,6.0781446
164,82.48339,0.03319885,177.74852,260.2319,213.47098,Spring_North,Primary,24.938272,0.0,0.14682771,4.0215707,6.587466
165,80.71728,0.033186235,177.9181,258.63538,213.77786,Spring_North,Primary,25.4172,0.0,0.1438816,4.1040387,7.026489
166,80.88075,0.032440513,178.1049,258.98566,214.16066,Spring_North,Primary,25.8936,0.0,0.14097571,4.01147,7.0111685
167,70.383446,0.1522481,188.41766,258.80112,219.55402,Spring_North,Primary,26.084,0.0,0.13982128,3.1331718,5.819277
169,80.4806,0.21554093,177.65218,258.13278,210.15552,Spring_North,Primary,27.51,0.0,0.13130239,4.8759685,7.5642776
170,79.95673,0.21693696,178.06215,258.0189,213.4616,Spring_North,Primary,27.792484,0.0,0.12964176,4.2043357,8.2659445
171,80.20489,0.32594845,178.08575,258.29065,222.08029,Spring_North,Primary,28.38947,0.0,0.12616198,5.589822,7.9360776
172,81.536224,0.3230056,177.25453,258.79074,213.84164,Spring_North,Primary,28.7592,0.0,0.12402716,4.247015,7.5349336
173,80.99835,0.3228681,177.29004,258.2884,213.40108,Spring_North,Primary,29.216667,0.0,0.12140745,4.157437,7.9476223
174,80.74576,0.3196119,177.67195,258.4177,213.8092,Spring_North,Primary,29.6856,0.0,0.11874712,4.296665,7.741789
175,80.404755,0.24505928,177.7905,258.19525,213.95929,Spring_North,Primary,30.1572,0.0,0.11609743,4.147185,7.334517
176,79.91153,0.23150295,177.59889,257.51044,213.31613,Spring_North,Primary,30.631454,0.0,0.11345904,4.150713,7.8095393
