datetime,sol,end,look_ahead,activity,solar_longitude_deg,date,year,month,day,hour,day_of_year,weekday
2020-06-21 00:31:00,557,563.0,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations and SSA Monitoring, Battery Characterization, IDA Temperature Monitoring, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",223.74,2020-06-21,2020,6,21,0,173,6
2020-06-28 05:11:00,564,576.0,,"HP3 RAD Calibrations and SSA Monitoring, Battery Characterization, IDA Temperature Monitoring, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",228.23,2020-06-28,2020,6,28,5,180,6
2020-07-11 13:52:00,577,583.0,,"Unsafe APSS and Power ON (All Sensors), Retract IDA, Mole Pit Mosaic, Solar Array Vibration Image Campaign, Install WUTT, and Tau Images",236.64,2020-07-11,2020,7,11,13,193,5
2020-07-18 18:33:00,584,590.0,,"SEIS Tilt Measurement and Flash Maintenance, HP3 Unsafe and RAD Single Measurements, and Dust Devil and Tau Images",241.18,2020-07-18,2020,7,18,18,200,5
2020-07-25 23:15:00,591,597.0,,"HP3 RAD Single Measurements, Payload Block Libraries Upload, and Meteor Search and Tau Images",245.75,2020-07-25,2020,7,25,23,207,5
2020-08-02 03:56:00,598,603.0,,"HP3 Mole Recovery Operations, HP3 RAD Hourly Measurements and SSA Monitoring, and Tau Images",250.31,2020-08-02,2020,8,2,3,215,6
2020-08-08 07:58:00,604,610.0,,"HP3 Mole Recovery Operations, HP3 RAD Single Measurements and SSA Monitoring, and Dust Devil and Tau Images",254.23,2020-08-08,2020,8,8,7,221,5
2020-08-15 12:40:00,611,617.0,,HP3 Mole Recovery Operations and Dust Devil and Tau Images,258.79,2020-08-15,2020,8,15,12,228,5
2020-08-22 17:22:00,618,624.0,,"HP3 Mole Recovery Operations, APSS Recovery Operations, VBB2 Recentering and POS Gain to High, and Dust Devil and Tau Images",263.35,2020-08-22,2020,8,22,17,235,5
2020-08-29 22:05:00,625,631.0,,Dust Devil and Tau Images,267.89,2020-08-29,2020,8,29,22,242,5
2020-09-06 02:47:00,632,637.0,,"HP3 Mole Recovery Operations, APSS Recovery Operations, and Dust Devil and Tau Images",272.42,2020-09-06,2020,9,6,2,250,6
2020-09-12 06:49:00,638,644.0,,"SEIS VBB2 Recentering, TWINS Configuration File Update, and Dust Devil and Tau Images",276.28,2020-09-12,2020,9,12,6,256,5
2020-09-19 11:30:00,645,651.0,,"HP3 Mole Recovery Operations, BEE Parameter Table Update, and Dust Devil and Tau Images",280.76,2020-09-19,2020,9,19,11,263,5
2020-09-26 16:12:00,652,658.0,,"SEIS Tilt Measurement and Flash Maintenance, HP3 RAD Single Measurements, and Dust Devil and Tau Images",285.21,2020-09-26,2020,9,26,16,270,5
2020-10-03 20:53:00,659,665.0,,"HP3 Mole Recovery Operations, HP3 RAD Single Measurements, and Tau Images",289.62,2020-10-03,2020,10,3,20,277,5
2020-10-11 01:34:00,666,672.0,,HP3 RAD Single Measurements and Dust Devil and Tau Images,294.0,2020-10-11,2020,10,11,1,285,6
2020-10-18 06:15:00,673,678.0,,"HP3 Mole Recovery Operations, HP3 RAD Single Measurements, and Tau Images",298.34,2020-10-18,2020,10,18,6,292,6
2020-10-24 10:15:00,679,685.0,,"HP3 TEMA/TEMP Measurements, Cycling of APSS Sensors for Power Balancing, HP3 RAD Single Measurements, and Tau Images",302.03,2020-10-24,2020,10,24,10,298,5
2020-10-31 14:55:00,686,692.0,,"HP3 Mole Recovery Operations, HP3 RAD Single Measurements, and Dust Devil and Tau Images",306.29,2020-10-31,2020,10,31,14,305,5
2020-11-07 19:34:00,693,699.0,,"HP3 RAD Hourly Measurements, Uplink of 15-Curve LME Files, and Dust Devil and Tau Images",310.51,2020-11-07,2020,11,7,19,312,5
2020-11-15 00:13:00,700,706.0,,"HP3 Mole Recovery Activities, HP3 RAD Single Measurements, BEE Reset, Operate Using 15-Curve LME, and Dust Devil and Tau Images",314.67,2020-11-15,2020,11,15,0,320,6
