sol,wind_speed_avg,mars_season,temp_avg,environmental_stress_index,dust_season_risk,solar_longitude_deg,mission_phase,activity_count
193,4.288092,Spring_North,212.17876,0.04223436,0.0,38.5648,Primary,0
194,4.241289,Spring_North,212.03262,0.04148331,0.0,39.0278,Primary,0
195,4.1724076,Spring_North,211.60974,0.036102943,0.0,39.493,Primary,0
196,4.058448,Spring_North,212.11592,0.030560419,0.0,39.9522,Primary,1
197,3.8827431,Spring_North,212.01521,0.04769706,0.0,40.4136,Primary,0
198,4.001219,Spring_North,211.35098,0.050569296,0.0,40.877396,Primary,0
199,4.0274215,Spring_North,211.91885,0.051302712,0.0,41.3356,Primary,0
200,3.964888,Spring_North,211.60222,0.04421674,0.0,41.79474,Primary,0
201,4.165783,Spring_North,212.15222,0.039074242,0.0,42.257,Primary,0
202,4.1771317,Spring_North,211.94106,0.039117247,0.0,42.7164,Primary,0
203,3.9802594,Spring_North,211.70963,0.039331276,0.0,43.17414,Primary,1
204,4.200574,Spring_North,212.03758,0.037884295,0.0,43.6348,Primary,0
205,4.081653,Spring_North,212.13145,0.034834784,0.0,44.0934,Primary,0
206,4.0186605,Spring_North,211.59892,0.03583733,0.0,44.54995,Primary,0
207,4.239759,Spring_North,212.28256,0.03573995,0.0,45.0098,Primary,0
208,4.1096325,Spring_North,212.51414,0.036632456,0.0,45.4678,Primary,0
209,4.09808,Spring_North,212.00246,0.03536739,0.0,45.92797,Primary,0
210,4.165126,Spring_North,212.43022,0.030070899,0.0,46.3822,Primary,1
211,3.9237728,Spring_North,212.68384,0.039148543,0.0,46.8392,Primary,0
212,3.9120314,Spring_North,212.2206,0.04560705,0.0,47.298363,Primary,0
213,4.0626855,Spring_North,212.26509,0.042189885,0.0,47.7516,Primary,0
214,3.9055154,Spring_North,211.95367,0.039537527,0.0,48.205757,Primary,0
215,3.9665215,Spring_North,212.11215,0.037669953,0.0,48.6636,Primary,0
216,3.8390877,Spring_North,239.73201,0.24883847,0.0,49.026962,Primary,0
217,4.1421223,Spring_North,211.43704,0.24811621,0.0,49.670345,Primary,0
218,4.37101,Spring_North,211.76385,0.2738607,0.0,50.0284,Primary,0
219,4.0425243,Spring_North,212.1685,0.27162033,0.0,50.483,Primary,0
220,4.0089407,Spring_North,211.82469,0.27229235,0.0,50.94015,Primary,0
221,4.032211,Spring_North,212.22354,0.26887262,0.0,51.3914,Primary,0
222,3.9761617,Spring_North,212.07854,0.26864988,0.0,51.8448,Primary,0
223,4.066553,Spring_North,211.28575,0.04936938,0.0,52.30115,Primary,1
224,4.0209947,Spring_North,210.6408,0.053715162,0.0,52.7518,Primary,0
225,3.8818471,Spring_North,210.30693,0.03507953,0.0,53.20297,Primary,0
226,3.8743992,Spring_North,210.55313,0.03964189,0.0,53.6572,Primary,0
227,4.0199957,Spring_North,210.54501,0.039882906,0.0,54.1098,Primary,0
228,3.773583,Spring_North,209.9586,0.04723736,0.0,54.560375,Primary,0
229,3.8616414,Spring_North,210.65572,0.04201843,0.0,55.0142,Primary,0
230,4.075338,Spring_North,210.32278,0.039469585,0.0,55.4662,Primary,0
231,6.752364,Spring_North,251.62238,0.637521,0.0,55.647,Primary,0
232,2.3125045,Spring_North,208.70915,0.70000005,0.0,56.394,Primary,0
233,5.081074,Spring_North,208.26921,0.70000005,0.0,57.002,Primary,1
234,3.8681765,Spring_North,209.42265,0.70000005,0.0,57.275333,Primary,0
235,4.01539,Spring_North,210.08076,0.70000005,0.0,57.7236,Primary,0
236,4.092783,Spring_North,210.18364,0.70000005,0.0,58.17218,Primary,0
237,4.133046,Spring_North,210.56654,0.70000005,0.0,58.6246,Primary,1
238,4.1540184,Spring_North,210.46132,0.27638772,0.0,59.075,Primary,0
239,4.201363,Spring_North,210.16011,0.14016998,0.0,59.523777,Primary,0
240,2.5913055,Spring_North,214.43515,0.2135827,0.0,59.706,Primary,0
241,5.3263392,Spring_North,207.97264,0.28892595,0.0,60.606,Primary,0
242,4.18482,Spring_North,209.47961,0.28986195,0.0,60.874184,Primary,0
