Sol,End,Look ahead,Activity,Solar longitude (deg),UTC
591,597,,"HP3 RAD Single Measurements, Payload Block Libraries Upload, and Meteor Search and Tau Images",245.75,2020-07-25 23:15
598,603,,"HP3 Mole Recovery Operations, HP3 RAD Hourly Measurements and SSA Monitoring, and Tau Images",250.31,2020-08-02 03:56
604,610,,"HP3 Mole Recovery Operations, HP3 RAD Single Measurements and SSA Monitoring, and Dust Devil and Tau Images",254.23,2020-08-08 07:58
611,617,,HP3 Mole Recovery Operations and Dust Devil and Tau Images,258.79,2020-08-15 12:40
618,624,,"HP3 Mole Recovery Operations, APSS Recovery Operations, VBB2 Recentering and POS Gain to High, and Dust Devil and Tau Images",263.35,2020-08-22 17:22
625,631,,Dust Devil and Tau Images,267.89,2020-08-29 22:05
632,637,,"HP3 Mole Recovery Operations, APSS Recovery Operations, and Dust Devil and Tau Images",272.42,2020-09-06 02:47
638,644,,"SEIS VBB2 Recentering, TWINS Configuration File Update, and Dust Devil and Tau Images",276.28,2020-09-12 06:49
645,651,,"HP3 Mole Recovery Operations, BEE Parameter Table Update, and Dust Devil and Tau Images",280.76,2020-09-19 11:30
652,658,,"SEIS Tilt Measurement and Flash Maintenance, HP3 RAD Single Measurements, and Dust Devil and Tau Images",285.21,2020-09-26 16:12
659,665,,"HP3 Mole Recovery Operations, HP3 RAD Single Measurements, and Tau Images",289.62,2020-10-03 20:53
666,672,,HP3 RAD Single Measurements and Dust Devil and Tau Images,294.00,2020-10-11 01:34
673,678,,"HP3 Mole Recovery Operations, HP3 RAD Single Measurements, and Tau Images",298.34,2020-10-18 06:15
679,685,,"HP3 TEMA/TEMP Measurements, Cycling of APSS Sensors for Power Balancing, HP3 RAD Single Measurements, and Tau Images",302.03,2020-10-24 10:15
686,692,,"HP3 Mole Recovery Operations, HP3 RAD Single Measurements, and Dust Devil and Tau Images",306.29,2020-10-31 14:55
693,699,,"HP3 RAD Hourly Measurements, Uplink of 15-Curve LME Files, and Dust Devil and Tau Images",310.51,2020-11-07 19:34
700,706,,"HP3 Mole Recovery Activities, HP3 RAD Single Measurements, BEE Reset, Operate Using 15-Curve LME, and Dust Devil and Tau Images",314.67,2020-11-15 00:13
707,719,,"HP3 Mole Recovery Activities, SEIS Tilt Measurement and Flash Maintenance, Command Loss Timer Set to 8 days, and Dust Devil and Tau Images",318.79,2020-11-22 04:51
720,733,,"HP3 Mole Recovery Activities, HP3 RAD Single Measurements, Unsafe IDA and HP3, and Tau Images",326.31,2020-12-05 13:27
734,753,,"HP3 Mole Recovery Activities, HP3 RAD Single Measurements, HP3 RAD Calibration, SEIS VBB2 Characterization, Aeolian Change, and Tau Images",334.22,2020-12-19 22:41
754,760,,"HP3 Mole Recovery Activities, HP3 RAD Single Measurements, SEIS Recentering of VBB2, SEIS VBB3 Characterization, Aeolian Change, and Tau Images",345.18,2021-01-09 11:50
761,774,,"Phobos Eclipse RAD Observations, HP3 RAD Single Measurements, High-Frequency SEIS Recording, Aeolian Change, and Tau Images",348.93,2021-01-16 16:26
775,787,,"Arm Retraction and Mosaic, HP3 RAD Calibrations, HP3 Bad Block Readout, SEIS VBB2 Recentering, SEIS Get Tilt and Flash Maintenance, Aeolian Change, and Tau Images",356.28,2021-01-31 01:36
788,801,,"Pulse the East Solar Array Deployment Motors (Dust Reduction), 4x4x1 Mosaic of SEIS Tether and Surroundings, HP3 Single Calibrations, and Tau Images",002.96,2021-02-13 10:07
802,815,,"Unsafe APSS, Switch APSS to USM3, HP3 RAD Calibrations (Day and Single), Test Scrapes for SEIS Tether Burial, Disable Secondary Survival Heater, Aeolian Change, and Tau Images",010.00,2021-02-27 19:17
816,821,,"Test Acquire and Drop for SEIS Tether Burial, Disable Primary and Secondary Survival Heater, HP3 RAD Calibrations, Aeolian Change, and Tau Images",016.89,2021-03-14 04:26
